entryId,entityType,contentfulUrl,slug,Test Form?,formEntityNames,BW Campaign ID,Campaign Member Status,Campaign Name,CXM Campaign ID,Form Name,Form Type,Global Campaign ID,Journey Stage,Lead Source,Lead Source Other,MONET Campaign ID,Product Interest,Solution,US Campaign ID
5lEhORwCFphBt39v56GJce,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5lEhORwCFphBt39v56GJce,de-DE=ressourcen/quadient-im-aspire-leaderboard-fur-ccm-2021-als-sieger-eingestuft; en-US=ebooks-papers/quadient-named-leader-2021-aspire-leaderboard-ccm; es=recursos/quadient-nombrado-lider-en-el-reporte-aspire-2021-para-ccm; fr-FR=ressources/quadient-nomme-leader-du-classement-aspire-leaderboard-2021-pour-la-ccm; nl-NL=bronnen/quadient-een-leider-genoemd-op-het-aspire-leaderboard-van-2021-voor-ccm,N,C1 - Digital - Hand Raiser Form,,AR-2021_Aspire_Leaderboard_Access|AR-CXM-2021_Aspire_Leaderboard_Access,,7013k000001Sfma,MCCF -,,,Comparison,,,,Customer Communications Management,Customer Communications,
4wo3tt8ePpaxxnDnyII4iP,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4wo3tt8ePpaxxnDnyII4iP,de-DE=ressourcen/santander-bank-uk-onboarding-auf-ganz-neuem-niveau; en-US=case-studies/santander-bank-uk-taking-onboarding-next-level; es=recursos/santander-bank-uk-llevando-la-incorporacion-al-siguiente-nivel; fr-FR=ressources/santander-bank-uk-faire-passer-lintegration-au-niveau-superieur; it-IT=risorse/santander-bank-uk-onboarding-di-nuova-generazione; ja-JP=resources/santander-bank-uk-ワンランク上のオンボーディングを実現; nl-NL=bronnen/santander-bank-uk-taking-onboarding-next-level,N,C1 - Digital - Hand Raiser Form,,CS-2019 Celent Award: Santander Bank|CS-CXM-2019 Celent Award: Santander Bank,,7012A000000sZPA,MCCF - FY19-Q1-GL-CM-IB-CCM-Celent Santander 2019 Model Bank Case Study,,,Awareness,,,,,Customer Communications,
2dXQCPNI9ywFTuVl1isnI6,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2dXQCPNI9ywFTuVl1isnI6,de-DE=ressourcen/spark-matrix-ccm-2025; en-US=ebooks-papers/spark-matrix-ccm-2025; es=recursos/spark-matrix-ccm-2025; fr-FR=ressources/spark-matrix-ccm-2025; nl-NL=bronnen/spark-matrix-ccm-2025,N,C1 - Digital - Hand Raiser Form,,AR-CXM-Download,,701Rp00000MxLaAIAV,,,,Awareness|Comparison,,,,Customer Communications Management,Customer Communications,
1cwvswWRKNhf8neARgKOD7,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1cwvswWRKNhf8neARgKOD7,de-DE=ressourcen/transformation-der-kundenbindung; en-US=ebooks-papers/transforming-customer-engagement; es=recursos/transformando-interaccion-con-cliente; fr-FR=ressources/aspire-transformer-engagement-client,N,C1 - Digital - Hand Raiser Form,,WP-CXM-Aspire State of CX,,701Rp00000Mp5CPIAZ,,,,Awareness,,,,,Customer Communications,
67GXvoMBkgIe3rV5nXVXK2,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/67GXvoMBkgIe3rV5nXVXK2,ebooks-papers/12-strategies-help-finance-leaders-win-talent-war,N,C1 - Digital - Hand Raiser Form,701OL00000SZQ2lYAH,EB-AP-Talent-War,,,,,,Comparison,Email Campaign,,,,Accounts Payable,
2zQtXcPzRJarhJQiLT16O3,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2zQtXcPzRJarhJQiLT16O3,ebooks-papers/2025-ar-collections-best-practices,N,C1 - Digital - Hand Raiser Form,701OL00000KzLC6YAN,EB-AR-NORAM AR Collections Best Practice,FY24-Q4-GL-DG-INT-AR-ACQ-NORAM 2025 AR Collections Best Practices eBook Website,,,,701Pq00000PCBJ4IAP,Awareness,,,,Accounts Receivable Automation,Accounts Receivable,
p6bhgQ9dBTs4jUys87cJE,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/p6bhgQ9dBTs4jUys87cJE,ebooks-papers/2025-spark-matrix-accounts-payable-automation,N,C1 - Digital - Hand Raiser Form,701OL00000XQy8nYAD,AR-AP-2025 SPARK Matrix AP Automation,,,,,701Pm00000tPZ9NIAW,Awareness|Comparison,Beanworks.com,,,Accounts Payable Automation|Dematerialization of AP invoices,Accounts Payable,
6r248OfWvZGkba7sR2DzbS,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/6r248OfWvZGkba7sR2DzbS,ebooks-papers/5-trends-define-accounts-payable-2025,N,C1 - Digital - Hand Raiser Form,701OL00000OgrQJYAZ,EB-AP-NORAM 5 Trends Define AP,,,,,,Awareness,Beanworks.com,,,Accounts Payable Automation,Accounts Payable,
73Pishs4g0TssjaCKjMJHP,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/73Pishs4g0TssjaCKjMJHP,ebooks-papers/7-habits,N,C1 - Digital - Hand Raiser Form,701OL00000Qe4sOYAR,VD-AP-7-habits-organic,,,,,,Awareness,Beanworks.com,,,,Accounts Payable,
6vjis3OcFsLUe7tlXJW6uw,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/6vjis3OcFsLUe7tlXJW6uw,ebooks-papers/accounts-receivable-collections-playbook,N,C1 - Digital - Hand Raiser Form,7015a0000019v6qAAA,GD-AR-Collections-Workflow-Playbook,FY22-Q3-AM-AR-Collections-Workflow-Playbook,,,,,Awareness,Email Campaign,,,Accounts Receivable Automation,Accounts Receivable,
